edible-poisonous,cap-shape,cap-surface,cap-color,bruises,odor,colony
poisonous,convex,smooth,brown,bruises,pungent,6
edible,convex,smooth,yellow,bruises,almond,58
edible,bell,smooth,white,bruises,anise,42
poisonous,convex,scaly,white,bruises,pungent,8
edible,convex,smooth,grey,no,none,508
edible,convex,scaly,yellow,bruises,almond,57
edible,bell,smooth,white,bruises,almond,50
edible,bell,scaly,white,bruises,anise,6
poisonous,convex,scaly,white,bruises,pungent,2
edible,bell,smooth,yellow,bruises,almond,8
edible,convex,scaly,yellow,bruises,anise,49
edible,convex,scaly,yellow,bruises,almond,6
edible,bell,smooth,yellow,bruises,almond,6
poisonous,convex,scaly,white,bruises,pungent,1
edible,convex,fibrous,brown,no,none,517
edible,sunken,fibrous,grey,no,none,1
edible,flat,fibrous,white,no,none,505
poisonous,convex,smooth,brown,bruises,pungent,9
poisonous,convex,scaly,white,bruises,pungent,8
poisonous,convex,smooth,brown,bruises,pungent,6
edible,bell,smooth,yellow,bruises,almond,9
edible,bell,scaly,yellow,bruises,anise,7
edible,bell,scaly,white,bruises,almond,41
edible,bell,smooth,white,bruises,anise,7
poisonous,flat,smooth,white,bruises,pungent,2
edible,convex,scaly,yellow,bruises,almond,52
edible,convex,scaly,white,bruises,anise,56
edible,flat,fibrous,brown,no,none,1
edible,convex,smooth,yellow,bruises,almond,1
edible,bell,smooth,yellow,bruises,anise,33
poisonous,convex,scaly,white,bruises,pungent,6
edible,convex,scaly,yellow,bruises,anise,40
edible,convex,scaly,brown,bruises,anise,1
edible,convex,fibrous,yellow,bruises,anise,2
edible,sunken,fibrous,grey,no,none,2
poisonous,convex,scaly,brown,bruises,pungent,9
edible,convex,fibrous,yellow,bruises,almond,1
edible,bell,smooth,yellow,bruises,anise,9
edible,bell,scaly,yellow,bruises,almond,6
edible,convex,scaly,yellow,bruises,anise,1
edible,convex,fibrous,brown,no,none,1
poisonous,convex,scaly,white,bruises,pungent,2
edible,convex,smooth,yellow,bruises,almond,39
edible,convex,scaly,white,bruises,almond,43
edible,convex,scaly,yellow,bruises,anise,6
edible,convex,smooth,white,bruises,anise,53
edible,convex,scaly,yellow,bruises,anise,6
edible,flat,scaly,yellow,bruises,anise,6
edible,convex,scaly,brown,bruises,almond,7
edible,bell,smooth,white,bruises,anise,55
poisonous,convex,scaly,brown,bruises,pungent,2
poisonous,convex,smooth,white,bruises,pungent,1
edible,bell,scaly,yellow,bruises,almond,7
edible,flat,fibrous,grey,no,none,510
edible,bell,smooth,white,bruises,almond,54
edible,convex,smooth,yellow,bruises,anise,47
edible,sunken,fibrous,grey,no,none,2
edible,bell,scaly,yellow,bruises,almond,7
edible,bell,smooth,yellow,bruises,anise,6
edible,bell,scaly,yellow,bruises,anise,30
edible,bell,scaly,white,bruises,anise,9
edible,flat,smooth,brown,no,none,806
edible,convex,smooth,white,bruises,anise,7
edible,flat,scaly,yellow,bruises,almond,9
edible,convex,scaly,yellow,bruises,almond,38
edible,convex,fibrous,grey,no,none,1
edible,flat,fibrous,yellow,bruises,anise,1
edible,bell,scaly,white,bruises,anise,7
edible,flat,fibrous,yellow,bruises,anise,2
edible,convex,scaly,brown,bruises,almond,7
edible,bell,smooth,yellow,bruises,almond,9
edible,flat,smooth,yellow,bruises,anise,1
edible,convex,smooth,white,bruises,anise,1
edible,flat,scaly,brown,bruises,anise,1
poisonous,convex,scaly,brown,bruises,pungent,2
edible,flat,scaly,brown,bruises,almond,1
edible,convex,smooth,brown,no,none,8
poisonous,convex,scaly,white,bruises,pungent,6
edible,flat,fibrous,grey,no,none,1
edible,convex,fibrous,grey,no,none,9
edible,convex,scaly,yellow,bruises,anise,9
edible,convex,smooth,brown,no,none,6
edible,bell,smooth,white,bruises,almond,6
edible,convex,smooth,white,bruises,anise,9
edible,flat,scaly,brown,bruises,anise,1
edible,sunken,fibrous,brown,no,none,2
edible,convex,fibrous,brown,no,none,1
edible,bell,smooth,white,bruises,anise,8
edible,convex,scaly,yellow,bruises,almond,7
edible,convex,scaly,yellow,bruises,anise,34
edible,convex,smooth,brown,no,none,780
edible,flat,scaly,brown,bruises,anise,6
edible,convex,smooth,yellow,bruises,almond,43
edible,bell,smooth,white,bruises,almond,9
edible,convex,scaly,white,bruises,almond,7
edible,convex,fibrous,brown,no,none,9
edible,bell,smooth,yellow,bruises,anise,53
edible,flat,scaly,yellow,bruises,anise,7
edible,convex,scaly,yellow,bruises,almond,1
edible,bell,scaly,white,bruises,anise,45
edible,convex,scaly,yellow,bruises,almond,57
edible,convex,scaly,yellow,bruises,almond,1
edible,bell,scaly,white,bruises,anise,6
edible,bell,scaly,white,bruises,almond,6
edible,convex,smooth,yellow,bruises,almond,51
